Jour;Temp. min;Temp. max;Temp. moy;Pluie;Ensol.;Vent moyen;Rafale max;Direc. vent
;;;;;;;;
;Temp‚rature minimale en degr‚s Celcius;Temp‚rature maximale en degr‚s Celcius;Temp‚rature moyenne en degr‚s Celcius;Pluviom‚trie en mm;Dur‚e d'ensoleillement en heures;Vitesse du vent moyenne en km/h;Rafale de vent maximale en km/h;Direction du vent dominante
;;;;;;;;
1;4.4;12.6;8.5;0;5.4;16.1;37;o
2;7.2;14.9;11.1;0.2;0.1;14.8;40.7;oso
3;8.6;14.1;11.4;4.8;0.9;14.1;42.6;no
4;8.9;10.9;9.9;0;0;16.2;42.6;n
5;1.5;11.9;6.7;0;8.9;16.4;40.7;ne
6;0;15.8;7.9;0;12.5;14;42.6;ene
7;3.9;17.1;10.5;0;12.5;13.5;37;e
8;2.7;18.5;10.6;0;12.7;11.3;35.2;e
9;1.9;21.6;11.8;0;11.6;7;24.1;e
10;8.4;20.5;14.5;0.8;7;13.7;44.4;s
11;9.9;14.7;12.3;1;1.4;11.8;37;so
12;4.3;19.7;12;0;8.5;7.3;29.6;se
13;4.1;21.5;12.8;0;12.9;5.7;25.9;n
14;6.1;24.5;15.3;0;12.7;5.1;25.9;n
15;7.1;26.9;17;0;11.9;5.5;24.1;e
16;11.6;23.4;17.5;0;1.8;8.7;33.3;o
17;11.6;18.5;15.1;0.4;0.4;8.2;24.1;oso
18;9;18.2;13.6;0.4;4.8;19.5;51.8;e
19;6.1;18.2;12.2;0;12.8;18.8;48.1;nne
20;2.1;21.7;11.9;0;10.8;9.5;29.6;nno
21;4.5;22.7;13.6;0;12.5;11.7;37;no
22;7.2;23.3;15.3;0;10.8;13.1;38.9;ene
23;6.4;23.6;15;0;12.2;7.2;22.2;n
24;10.6;18;14.3;0.4;1.1;8;25.9;so
25;10.8;17.7;14.3;1.8;0.6;13.4;48.1;sso
26;9.7;17.9;13.8;3;1.1;7.9;27.8;n
27;9.4;15;12.2;0;10;16.8;48.1;n
28;2.6;14.5;8.6;0;6.6;7.1;27.8;o
29;2.7;15.4;9.1;12;5.2;11.5;55.5;so
30;9.5;12.3;10.9;27;0;9.2;24.1;sso
