Jour;Temp. min;Temp. max;Temp. moy;Pluie;Ensol.;Vent moyen;Rafale max;Direc. vent
;;;;;;;;
;Temp‚rature minimale en degr‚s Celcius;Temp‚rature maximale en degr‚s Celcius;Temp‚rature moyenne en degr‚s Celcius;Pluviom‚trie en mm;Dur‚e d'ensoleillement en heures;Vitesse du vent moyenne en km/h;Rafale de vent maximale en km/h;Direction du vent dominante
;;;;;;;;
1;8.7;13.5;11.1;0;1;9.7;22.2;s
2;9.9;12;11;0;0;13.7;33.3;s
3;7.4;13.7;10.6;1;1.2;15.9;50;s
4;5;12.4;8.7;0;7.8;11.5;50;o
5;3.4;11.7;7.6;0;2;16.1;37;s
6;9.8;13.2;11.5;1.4;0.2;17.4;38.9;s
7;7.2;14.1;10.7;2;7;13.2;31.5;sse
8;8.3;13.9;11.1;2;2.1;13.6;35.2;oso
9;1;12.4;6.7;0;6.9;7;24.1;s
10;3.4;9.5;6.5;0;2.7;9;25.9;sse
11;5;14.6;9.8;0;3.7;11.6;35.2;sso
12;8.1;14.4;11.3;0;2.9;11.7;33.3;sso
13;2.9;7.2;5.1;0;0;9.6;25.9;ese
14;5;10.7;7.9;1;0.8;12.3;27.8;se
15;9;14.6;11.8;7;0;15.7;37;s
16;12.5;15.4;14;;0;14;42.6;so
17;8.5;13.8;11.2;0.2;0;11.6;25.9;s
18;7.6;16.2;11.9;0;1.9;10.2;31.5;s
19;10.9;17.8;14.4;0;3.3;16.1;35.2;sse
20;11.8;13.8;12.8;1;0;17.8;40.7;s
21;7.7;14.1;10.9;0.6;2.6;20.6;57.4;sso
22;12;13.1;12.6;2;0;27.3;53.7;sso
23;7.6;14.1;10.9;0.4;5.8;15.1;44.4;sso
24;8.3;13.8;11.1;5;0.8;17.7;68.5;s
25;8.3;15.6;12;0.8;0.9;19.6;51.8;s
26;9.1;11.8;10.5;0;6.1;14.7;31.5;s
27;9.3;12.8;11.1;0.2;0.7;13.4;31.5;s
28;6.9;13.4;10.2;1;1;19.6;44.4;sse
29;6.7;13.3;10;0;5.5;18.2;50;s
30;9.7;13.2;11.5;4;2.4;25;48.1;s
31;5;12.5;8.8;2.4;6.5;14.5;46.3;s
