Jour;Temp. min;Temp. max;Temp. moy;Pluie;Ensol.;Vent moyen;Rafale max;Direc. vent
;;;;;;;;
;Temp‚rature minimale en degr‚s Celcius;Temp‚rature maximale en degr‚s Celcius;Temp‚rature moyenne en degr‚s Celcius;Pluviom‚trie en mm;Dur‚e d'ensoleillement en heures;Vitesse du vent moyenne en km/h;Rafale de vent maximale en km/h;Direction du vent dominante
;;;;;;;;
1;-3.7;11.7;    4;;      0;6.3;;s
2;4.2;12.1;     8.2;     0.4;3.5;5.8;31.5;s
3;0.5;13.9;     7.2;     1.2;0;11.1;50;o
4;8.3;11.7;     10;      0;0.1;5.3;22.2;o
5;5.2;7.9;      6.6;     0;0;6.3;20.4;ese
6;4;9.4;        6.7;     1;0.1;7.6;31.5;s
7;-2.5;10.9;    4.2;     0;2.1;5;20.4;n
8;6;12.8;       9.4;     6;3.5;17;68.5;sso
9;5.3;15.2;     10.3;    0.2;0.5;22.7;51.8;oso
10;9.3;13.7;    11.5;    1;0.1;21.1;51.8;oso
11;3.6;10.6;    7.1;     0;7.7;14.5;35.2;o
12;7.5;13.7;    10.6;    2.2;0;25.5;62.9;sso
13;8.3;12.4;    10.4;    4;3.4;23.5;70.3;sso
14;4.7;11.6;    8.2;     7.2;4.5;21.2;72.2;sso
15;6.8;11.1;    9;       11;0;25;83.3;sso
16;2;8.5;       5.3;     3;2.4;9.7;42.6;ono
17;-1.6;8.2;    3.3;     2.2;7.4;8.7;25.9;s
18;2.8;4.9;     3.9;     16;0;8.4;42.6;n
19;-1.3;6.6;    2.7;     0;5.7;7;25.9;n
20;-1.6;4.3;    1.4;     0.6;0.3;12;33.3;sse
21;0.5;3.3;     1.9;     0;0;10.5;22.2;ese
22;-1.2;4.9;    1.9;     0;5.3;6.9;20.4;n
23;-4.2;7.4;    1.6;     1;6.1;4.8;16.7;s
24;0.4;8.8;     4.6;     0.2;5.8;13.1;50;n
25;-2.2;8.8;    3.3;     0;0.7;4.8;14.8;oso
26;5.1;11.8;    8.5;     0.2;0;12.2;38.9;nno
27;2.9;9.5;     6.2;     0;0.7;7.2;22.2;o
28;6.3;12.6;    9.5;     1;0.1;18.5;55.5;sso
29;5.4;7.9;     6.7;     5;0.2;20.3;61.1;oso
30;1.9;8.5;     5.2;     7;2.9;20.5;70.3;o
31;1.3;6;       3.7;     6;1.6;18.5;62.9;o
;;;;;;;;
