Jour;Temp. min;Temp. max;Temp. moy;Pluie;Ensol.;Vent moyen;Rafale max;Direc. vent
;;;;;;;;
;Temp‚rature minimale en degr‚s Celcius;Temp‚rature maximale en degr‚s Celcius;Temp‚rature moyenne en degr‚s Celcius;Pluviom‚trie en mm;Dur‚e d'ensoleillement en heures;Vitesse du vent moyenne en km/h;Rafale de vent maximale en km/h;Direction du vent dominante
;;;;;;;;
1;21.3;30.6;26;9.8;6.7;12.7;53.7;s
2;16.5;25.2;20.9;1.2;3.8;10.4;46.3;ono
3;12.9;31.9;22.4;0.2;8.6;12.1;38.9;ese
4;17.8;27.6;22.7;6;10.1;11.4;33.3;so
5;12.6;23.9;18.3;4;5.9;10.3;29.6;oso
6;11.4;26.7;19.1;0;15.1;6.2;27.8;so
7;15.2;23.4;19.3;7;3.5;12.5;40.7;o
8;11.8;19.8;15.8;0;1.2;14.7;40.7;o
9;9.8;23.2;16.5;0;12.1;9;25.9;n
10;11.3;29.1;20.2;0;14.5;11;40.7;e
11;14;25.7;19.9;0;5.8;10.6;33.3;ono
12;11.1;23.4;17.3;0;3.9;10.7;37;oso
13;17;25;21;0;4;15.6;37;oso
14;17;26.3;21.7;0;2.7;9.8;29;o
15;14.3;27.2;20.8;0;4.4;6.7;24.1;so
16;15;36;25.5;0;13.4;13.1;57.4;sso
17;17.3;25.6;21.5;0.2;4.7;14;51.8;so
18;14.3;25;19.7;1;3.2;8.7;33.3;n
19;14.8;24.6;19.7;1;1.3;13.4;42.6;sso
20;18.9;26.1;22.5;0;3.1;14.9;40.7;so
21;19.1;25.7;22.4;0.2;4.2;13.1;35.2;sso
22;12.4;24.7;18.6;0;6.1;10.6;33.3;o
23;10.3;24.1;17.2;0;9.4;8;27.8;nne
24;15.9;25.1;20.5;0.6;4.9;19.2;64.8;sso
25;13.7;22.3;18;0.8;8.4;14.6;46.3;ono
26;12.6;22.7;17.7;4;2.3;18.5;61.1;s
27;15.2;21.8;18.5;0.4;2.2;19.5;53.7;oso
28;12.2;18;15.1;3;0.3;10.7;29.6;oso
29;7.7;21;14.4;0;9.2;11.9;35.2;o
30;7.1;22;14.6;0;11.3;10.8;35.2;n
