Jour;Temp. min;Temp. max;Temp. moy;Pluie;Ensol.;Vent moyen;Rafale max;Direc. vent
;;;;;;;;
;Temp‚rature minimale en degr‚s Celcius;Temp‚rature maximale en degr‚s Celcius;Temp‚rature moyenne en degr‚s Celcius;Pluviom‚trie en mm;Dur‚e d'ensoleillement en heures;Vitesse du vent moyenne en km/h;Rafale de vent maximale en km/h;Direction du vent dominante
;;;;;;;;
1;8.2;24.7;16.5;0;14.3;7.6;35.2;nno
2;9.3;30.9;20.1;0;14.3;14.1;44.4;sse
3;14.9;26.8;20.9;0.2;4;13.4;40.7;so
4;11.7;24.6;18.2;0;8.4;11.6;44.4;oso
5;10.4;27.8;19.1;0;12.1;12.3;44.4;sso
6;16.1;26.8;21.5;0;9.8;13;33.3;so
7;11.9;28.3;20.1;0;9.8;8.9;29.6;so
8;10.1;26.2;18.2;0;7.2;7.5;35.2;n
9;15;28.1;21.6;0;12.7;10.8;33.3;nno
10;11.4;28.7;20.1;0;8;7.6;29.6;o
11;18;25.1;21.6;0.2;0.5;13.3;35.2;n
12;17.8;32.1;25;5;8.6;11.9;33.3;nne
13;19.9;25.4;22.7;2;2.9;11.2;38.9;sso
14;16.4;19.7;18.1;7;0.2;16.3;48.1;ono
15;9.9;21.7;15.8;0;7.8;12.5;31.5;o
16;8.9;20.9;14.9;0.2;6.2;6.1;24.1;n
17;8.2;23.2;15.7;0.2;7.9;9.5;33.3;n
18;9.5;24.2;16.9;0;7.3;6.1;22.2;n
19;10.2;22.1;16.2;0.2;0.4;8.4;33.3;o
20;16.4;24.6;20.5;0.2;0.6;8;24.1;so
21;12.9;30.6;21.8;0;12.7;5.5;27.8;s
22;12.4;30.1;21.3;18;4.7;7;27.8;o
23;14.8;23.4;19.1;13;5.2;11.9;38.9;sso
24;13.8;18.8;16.3;9;4.2;20.4;66.6;o
25;10.2;20.5;15.4;3;0.5;17.7;46.3;sso
26;17.3;24;20.7;5;0.7;19.3;55.5;s
27;13.4;15.3;14.4;14;0;6.9;25.9;s
28;10.7;23.4;17.1;0;10.2;3.7;16.7;n
29;12.2;27.4;19.8;0;3.8;6.8;27.8;nno
30;15.4;27.6;21.5;2;3.2;7.9;31.5;n
