Jour;Temp. min;Temp. max;Temp. moy;Pluie;Ensol.;Vent moyen;Rafale max;Direc. vent
;;;;;;;;
;Temp‚rature minimale en degr‚s Celcius;Temp‚rature maximale en degr‚s Celcius;Temp‚rature moyenne en degr‚s Celcius;Pluviom‚trie en mm;Dur‚e d'ensoleillement en heures;Vitesse du vent moyenne en km/h;Rafale de vent maximale en km/h;Direction du vent dominante
;;;;;;;;
1;0.4;7.9;4.2;0.4;5;18.8;61.1;nno
2;-1.9;6.1;2.1;0;6.4;5.8;25.9;o
3;-0.5;4.8;2.2;1;1.3;7.9;31.5;nne
4;-1.6;6.6;2.5;0;5.4;15.8;50;n
5;-0.8;5.6;2.4;2;2;15.3;44.4;n
6;-1.7;4.2;1.3;0;7.6;20.6;50;nne
7;-2.3;7.7;2.7;0;9.4;17.5;46.3;nne
8;2.7;9.5;6.1;0;4.3;14.8;44.4;nne
9;-3.6;9.4;2.9;0;4.2;6.1;24.1;nne
10;2.1;5.2;3.7;0;0;14.3;37;e
11;-4;8.8;2.4;0;9.2;5.1;22.2;n
12;-4.6;8.6;2;1.4;1.9;7.7;25.9;ese
13;4.4;11.1;7.8;7.8;2.1;20.9;79.6;s
14;3.8;9.1;6.5;2;2.5;15.6;48.1;oso
15;3.9;11.6;7.8;0;3.4;8.6;27.8;n
16;0.8;7.4;4.1;16.4;0;7.5;27.8;s
17;0;5.2;4.6;0;;12.6;33.3;nno
18;-2.9;10.8;4;0;9.3;3.7;14.8;n
19;-2.4;10;3.8;2.2;1.7;13.5;44.4;s
20;6.5;10.8;8.7;8.2;0;18.6;51.8;s
21;2.5;8.7;5.6;3.4;3.8;13.8;48.1;o
22;-1.6;11.3;4.9;4.8;4.1;15.1;46.3;s
23;5.1;10.7;7.9;0.6;4.4;18.6;79.6;oso
24;2.3;10.8;6.6;3.2;6.3;17.5;55.5;oso
25;3.6;12.5;8.1;1;0;13.7;37;sso
26;8.6;12.3;10.5;7;0;13.3;44.4;so
27;1.6;10.6;6.1;0.2;5.6;10.1;44.4;ono
28;5.2;12.4;8.8;2;0;18.9;44.4;s
