Jour;Temp. min;Temp. max;Temp. moy;Pluie;Ensol.;Vent moyen;Rafale max;Direc. vent
;;;;;;;;
;Temp‚rature minimale en degr‚s Celcius;Temp‚rature maximale en degr‚s Celcius;Temp‚rature moyenne en degr‚s Celcius;Pluviom‚trie en mm;Dur‚e d'ensoleillement en heures;Vitesse du vent moyenne en km/h;Rafale de vent maximale en km/h;Direction du vent dominante
;;;;;;;;
1;4.6;17.4;11;0;7.9;12.7;44.4;so
2;12.1;17.7;14.9;0.4;0;22.3;53.7;sso
3;12.2;20.6;16.4;0;10.4;11;29.6;ono
4;8.1;27.3;17.7;0;10.8;8.8;33.3;n
5;16.2;23.4;19.8;0;10;12.4;40.7;n
6;6.9;20.2;13.6;0;15.1;11.5;35.2;n
7;7.1;21.6;14.4;0;15.2;14.8;42.6;n
8;9.1;21.4;15.3;0;15;21.2;55.5;nne
9;9.7;20.3;15;0;12.9;24.1;53.7;nne
10;11;21.4;16.2;0.2;2.7;20.1;50;ne
11;14.8;26.8;20.8;4;2.9;8.8;50;e
12;14.7;19;16.9;21;3.8;9.3;31.5;so
13;9.6;22.5;16.1;8;9.9;7.7;38.9;so
14;13.1;20.8;17;0;6.2;13.5;31.5;nno
15;13.2;19.1;16.2;0;1.8;11;29.6;n
16;11.3;21.4;16.4;0.2;10.7;14.8;42.6;n
17;9.8;23.8;16.8;0;13.1;10.3;33.3;nno
18;15;22;18.5;0;5.6;12.8;33.3;nno
19;8.4;22.1;15.3;0;13.4;12.3;44.4;n
20;9.1;24.4;16.8;0;12.7;8.1;31.5;n
21;14.3;23.7;19;0.2;8.7;11.4;29.6;n
22;8.7;20.6;14.7;0.6;0.8;11.4;42.6;so
23;6.7;22.3;14.5;0;12.3;8.7;27.8;nne
24;8.7;26.1;17.4;0;12.4;5.9;25.9;no
25;11.1;28.7;19.9;0;14.9;6.7;35.2;so
26;12.2;27.4;19.8;0;9.5;11;42.6;o
27;14.6;25.9;20.3;0;13.1;9.1;29.6;nno
28;11;27.3;19.2;0;15.1;9;33.3;n
29;12.7;28.4;20.6;0;10.9;7.1;22.2;n
30;16.5;34.8;25.7;0;14.8;14.9;44.4;ese
