Jour;Temp. min;Temp. max;Temp. moy;Pluie;Ensol.;Vent moyen;Rafale max;Direc. vent
;;;;;;;;
;Temp‚rature minimale en degr‚s Celcius;Temp‚rature maximale en degr‚s Celcius;Temp‚rature moyenne en degr‚s Celcius;Pluviom‚trie en mm;Dur‚e d'ensoleillement en heures;Vitesse du vent moyenne en km/h;Rafale de vent maximale en km/h;Direction du vent dominante
;;;;;;;;
1;9.5;16.1;12.8;0.4;0.1;10.3;31.5;no
2;11.8;14.8;13.3;16;0;12;35.2;sso
3;13.4;19.2;16.3;0.2;4.5;21;51.8;sso
4;12.5;16.9;14.7;13;1.1;14.4;33.3;s
5;12;16.5;14.3;1.4;6.7;25.3;62.9;sso
6;8.9;16.2;12.6;1;8.9;19.5;62.9;so
7;5.5;16.3;10.9;0;3.9;9;27.8;sse
8;9.7;18.7;14.2;2;0.6;13;51.8;so
9;10.1;18.8;14.5;0;7.9;16.3;42.6;so
10;9.7;22.3;16;0;8.5;10.1;29.6;se
11;11;23.8;17.4;0;12.3;6.6;25.9;n
12;10.5;18.7;14.6;0;10.8;12.5;37;n
13;7.7;20.3;14;0.2;4.3;9.6;33.3;so
14;8.9;17.2;13.1;5.2;4.3;16.4;61.1;sso
15;5.9;16.9;11.4;0;6.3;11.2;29.6;nno
16;6.5;18.8;12.7;0;6;10.6;35.2;n
17;3.9;18.3;11.1;0;12.5;1.6;11.1;n
18;5.1;16.3;10.7;3;2;10;46.3;n
19;5.6;15.3;10.5;5.4;8.7;15.6;59.2;o
20;5.3;15.2;10.3;2;9.5;14.5;61.1;nno
21;3.5;17.3;10.4;0;7.3;6.9;27.8;n
22;4.6;19.1;11.9;0;8.7;8.3;27.8;n
23;12.9;20.3;16.6;0;1.9;11.5;33.3;n
24;8.8;21;14.9;0;7.4;9.1;31.5;n
25;13.2;19;16.1;0;6.4;16.2;38.9;no
26;8.8;20.1;14.5;0;9.2;11.1;33.3;nno
27;9.3;21.9;15.6;0;10;6.4;27.8;n
28;10.6;20.2;15.4;0;4.9;9.4;35.2;ono
29;7.3;18;12.7;0;6.5;14;50;oso
30;8.3;20.3;14.3;0.2;10.2;10;31.5;so
