Jour;Temp. min;Temp. max;Temp. moy;Pluie;Ensol.;Vent moyen;Rafale max;Direc. vent
;;;;;;;;
;Temp‚rature minimale en degr‚s Celcius;Temp‚rature maximale en degr‚s Celcius;Temp‚rature moyenne en degr‚s Celcius;Pluviom‚trie en mm;Dur‚e d'ensoleillement en heures;Vitesse du vent moyenne en km/h;Rafale de vent maximale en km/h;Direction du vent dominante
;;;;;;;;
1;6.7;20.2;13.5;0;9.5;6;20.4;e
2;3.9;19.3;11.6;0.6;8.1;9.7;33.3;e
3;11.4;18.1;14.8;0.8;0.6;13.1;40.7;ese
4;12.1;17.1;14.6;0;0.2;9.7;25.9;sse
5;12.3;16;14.2;2;0.1;14.7;40.7;s
6;14.1;17.6;15.9;9;0;16.4;42.6;sso
7;15;21.4;18.2;0.4;4;14;42.6;s
8;13;20.2;16.6;0;3.1;13.4;40.7;s
9;10.1;17.6;13.9;0.2;7.3;13.3;40.7;so
10;8.1;17;12.6;0.4;4.8;9.1;31.5;sso
11;9.4;16.4;12.9;0.4;0.5;5.9;20.4;sso
12;8.8;15.2;12;0.4;0;8.7;31.5;sse
13;10.6;15.7;13.2;0;3.7;13.7;38.9;o
14;4.6;14.6;9.6;0;1.3;13.2;50;s
15;10.8;16.9;13.9;0;5.3;18.1;48.1;so
16;12.3;16.1;14.2;4;0.4;17.7;48.1;sso
17;14.2;16.8;15.5;1;0;20.8;51.8;so
18;9.6;17.5;13.6;0;5.6;15.3;46.3;so
19;12.7;17.4;15.1;8;0.2;16.8;48.1;so
20;9.4;16;12.7;14;0;16.8;61.1;o
21;3.2;9.2;6.2;7;2.3;22.2;77.7;ono
22;0.7;9.7;5.2;0.6;6.3;4.5;24.1;o
23;1.8;9;5.4;0.2;7.9;5.5;14.8;s
24;3.6;11.6;7.6;2.4;0;14.3;50;s
25;8.5;13.6;11.1;6;0.6;18.1;53.7;o
26;8.3;11.4;9.9;0.2;0.1;8;29.6;n
27;5.2;11.4;8.3;1;0;11.2;55.5;s
28;2.8;11.5;7.2;0;4.6;15.9;48.1;so
29;8.4;13.7;11.1;0;0.5;22.3;57.4;oso
30;9.9;13.5;11.7;2;0;15.9;50;so
;;;;;;;;
;;;;;;;;
