Jour;Temp. min;Temp. max;Temp. moy;Pluie;Ensol.;Vent moyen;Rafale max;Direc. vent;
;;;;;;;;;
;Temp‚rature minimale en degr‚s Celcius;Temp‚rature maximale en degr‚s Celcius;Temp‚rature moyenne en degr‚s Celcius;Pluviom‚trie en mm;Dur‚e d'ensoleillement en heures;Vitesse du vent moyenne en km/h;Rafale de vent maximale en km/h;Direction du vent dominante;
;;;;;;;;;
1;7;17.5;12.3;0;11.2;13.8;40.7;nne;
2;6.2;20.2;13.2;0;9;10.4;31.5;e;
3;10.2;20.8;15.5;0;3.5;3.2;11.1;n;
4;7.3;16.4;11.9;6;0;12.7;42.6;se;
5;12.3;18.3;15.3;6;0;14.7;35.2;sse;
6;14.7;19.6;17.2;0.4;3.2;23.4;61.1;oso;
7;11.4;16.7;14.1;0;1.4;10.5;33.3;o;
8;9.1;17.6;13.4;0;2.4;3.6;14.8;n;
9;5.5;17.3;11.4;0;8.1;9.2;31.5;e;
10;4.8;17.5;11.2;0;6.4;10.8;33.3;ene;
11;10.2;17.9;14.1;0;7.8;14.1;37;nne;
12;9.9;16.7;13.3;0;5.5;14.9;35.2;n;
13;5.7;14.7;10.2;0;6.7;11.4;35.2;n;
14;5.2;14.9;10.1;0;4.5;10.4;40.7;n;
15;4.6;12.9;8.8;0;3.6;10.8;44.4;ono;
16;2.5;15.6;9.1;0;2.2;9.1;31.5;n;
17;10.9;15.8;13.4;0;0.7;7.5;25.9;n;
18;4.5;16.2;10.4;0;1.8;8.1;24.1;n;
19;4.7;16.9;10.8;0;7.8;13.7;35.2;nne;
20;9.6;14;11.8;0;0.6;11.3;35.2;n;
21;3.2;12.7;8;1.4;0.1;6.3;22.2;o;
22;11.3;15.2;13.3;0;0.2;9.4;25.9;o;
23;10.3;15.4;12.9;0;0;5.7;18.5;se;
24;9.2;16.5;12.9;1;0.5;9.3;37;sso;
25;3;15;9;0;9.9;8;29.6;ese;
26;7;17;12;1;3.3;13.6;33.3;ese;
27;11.8;15.4;13.6;5.2;0.4;10.3;27.8;ese;
28;8.6;15.5;12.1;0.6;1.7;10.1;27.8;sse;
29;10;16.3;13.2;0.2;0.1;16.1;40.7;s;
30;13.5;18;15.8;0;0.1;12.4;31.5;ese;
31;9.9;19.2;14.6;0.2;9.3;9.6;29.6;ese;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
