Jour;Temp. min;Temp. max;Temp. moy;Pluie;Ensol.;Vent moyen;Rafale max;Direc. vent
;;;;;;;;
;Temp‚rature minimale en degr‚s Celcius;Temp‚rature maximale en degr‚s Celcius;Temp‚rature moyenne en degr‚s Celcius;Pluviom‚trie en mm;Dur‚e d'ensoleillement en heures;Vitesse du vent moyenne en km/h;Rafale de vent maximale en km/h;Direction du vent dominante
;;;;;;;;
1;12.3;21.4;16.9;0.4;10.3;13;37;no
2;8.2;20.5;14.4;0;9.2;8.9;29.6;nno
3;7.7;19.6;13.7;0;4;8.1;31.5;nno
4;9;17.1;13.1;0;0.8;8;29.6;n
5;8.1;21.4;14.8;0.2;6.1;6.8;31.5;o
6;7.5;20.4;14;0;6.7;7.8;33.3;ne
7;6.1;21.3;13.7;0;10.8;10.1;31.5;n
8;8.7;22.2;15.5;0;9.6;12.8;38.9;e
9;8.9;24;16.5;0.2;11.5;10.6;31.5;ene
10;8.3;25.6;17;0;12;4.9;22.2;e
11;11.3;23.4;17.4;3;3.7;9;35.2;s
12;14.8;20.8;17.8;1;4.7;9.7;31.5;o
13;10.6;19;14.8;7;1.8;7.7;40.7;sse
14;12.4;18.4;15.4;3;8.3;14.2;59.2;s
15;8.3;19;13.7;19.8;5.9;12.5;46.3;sso
16;13.8;20.2;17;7;1.7;18.6;59.2;s
17;10.8;19.1;15;2.2;3.8;14.5;40.7;o
18;11.6;20.1;15.9;1;2.1;12.4;31.5;o
19;9.4;21;15.2;0.2;4.4;7.2;24.1;o
20;8.4;21.5;15;0.2;6.7;3.1;13;n
21;10.1;18.1;14.1;2.2;2.7;7.6;37;so
22;11.3;17.4;14.4;2;5.2;19.3;59.2;o
23;6.9;19;13;0.2;9.9;9.4;24.1;o
24;10.4;20.5;15.5;0;1.8;10.7;33.3;so
25;7.1;19.1;13.1;0.2;6.5;5.6;27.8;n
26;6.6;19.7;13.2;0;9;10.9;33.3;nne
27;7.8;20.1;14;0;10.8;15.6;42.6;nne
28;8.4;21;14.7;0;11.4;18;48.1;ene
29;8.7;19.9;14.3;0;11.4;21.2;51.8;ene
30;7.8;19;13.4;0;11.3;15.4;37;e
